rowIdZuellig,codeZuellig,rowIdLynXCRM,codeLynXCRM,distance
315,201331,1143,0011i000001xmrD,409
316,201335,1701,0011i000001xnJi,0
317,201336,1918,0011i000001xnIl,0
318,201338,772,0011i000001xnCA,0
319,201341,1867,0011i000001xnC6,0
320,201343,1766,0011i000001xmk9,0
321,201348,1818,0011i000001xmw8,0
322,201355,161,0011i000001xmbD,0
323,201358,142,0011i000001xnPz,0
324,201359,1121,0011i000001xnDE,0
325,201365,1474,0011i000001xnAe,158
326,201367,1673,0011i000001xmbu,55
327,201368,1683,0011i000001xnV6,0
328,201370,1828,0011i000001xn1f,0
329,201382,1956,0011i000001xn82,40
330,201384,2102,0011i00000vyv47,245
331,201388,1751,0011i000001xnPv,0
332,201395,1694,0011i000001xmjG,49
333,201396,225,0011i000001xnaJ,76
334,201398,1883,0011i000001xmwP,0
335,201399,796,0011i000001xmhw,0
336,201403,824,0011i000001xnIT,0
337,201412,796,0011i000001xmhw,0
338,201413,1610,0011i000001xmn6,0
339,201415,2057,0011i000001xnVY,0
340,201416,1490,0011i000001xmdO,0
341,201417,1912,0011i000001xmmo,89
342,201418,1108,0011i000001xmbn,0
343,201420,1582,0011i000001xnCw,0
344,201422,1271,0011i000001xnZf,0
345,201423,1700,0011i000001xnWt,0
346,201432,891,0011i000001xmv4,0
347,201442,2072,0011i000001xmst,0
348,201444,2065,0011i000001xmja,0
349,201445,2063,0011i000001xn9R,0
350,201452,2139,0011i000001xmm0,20
351,201459,1227,0011i000001xnR5,48
352,201460,1197,0011i000001xmz7,0
353,201461,1940,0011i000001xnRQ,0
354,201462,1209,0011i000001xncN,0
355,201463,1898,0011i000001xnOM,68
356,201467,503,0011i000001xndB,65
357,201469,1697,0011i000001xnd9,292
358,201473,1140,0011i000001xmfI,0
359,201474,706,0011i000001xmuF,0
360,201484,554,0011i00000k1W9i,0
361,201489,821,0011i000001xnIN,0
362,201490,1700,0011i000001xnWt,305
363,201492,1424,0011i000001xn1S,0
364,201495,843,0011i000001xms6,0
365,201499,1960,0011i000001xnL0,0
